_id,chapter,question,answer,bookmark,bookinAll,bookTime,rese
22,1,Expressed consent:,The patient directly agrees to accept treatment,0,0,,
23,1,Four criteria for negligence to be proven:,"There was a duty to act, There was a breach of duty, Damage occurred, There was proximate cause",0,0,,
24,1,Fungi:,A plant-like microorganism that can cause an infection; usually found in people with weak immune systems,0,0,,
25,1,Good Samaritan Law:,"Protects a person who is not being paid for his services from liability for acts performed in good faith, unless those acts constitute gross negligence",0,0,,
26,1,Helminths:,"Parasitic worms that can cause infections;  tapeworms, roundworms, and flukes are examples of helminths",0,0,,
27,1,Hepatitis B:,Severe infection of the liver;  usually contracted through contact with blood and body fluids;  vaccination is available,0,0,,
28,1,Hepatitis C:,"Severe infection of the liver;  usually contracted through a direct needle stick, and usually not contracted through mucous membranes; no vaccination available",0,0,,
29,1,HIPAA stands for:,Health insurance portability and accountability act,0,0,,
30,1,Implied consent:,Assumes that all responsive and rational patients suffering from an immediately life-threatening or disabling injury would want to receive treatment and would express consent if they could,0,0,,
31,1,Incident command system:,System of command and control at a mass casualty or disaster,0,0,,
32,1,Libel:,Defaming through writing or mass media with malicious intent or reckless disregard,0,0,,
33,1,list of steps to be taken in different situations ,protocols,0,0,,
34,1,Minimum data set:,The minimum information that the U.S. Department of Transportation has determined should be included on all prehospital care reports.,0,0,,
35,1,Minor consent:,Permission obtained from a responsible adult for a minor child or incapacitated adult,0,0,,
36,1,Negligence:,Occurs when a patient suffers damage or injury because an EMT fails to perform at the accepted standard of care,0,0,,
37,1,Nonurgent move:,Used when there is no present or anticipated threat to the patient’s life,0,0,,
38,1,Offline medical direction:,"The process, usually established by a physician, of establishing system design, protocol development, education, and quality improvement for EMTs to use while in the field",0,0,,
39,1,Online medical direction: ,"A physician who is speaking directly with EMTs on scene, either through radio or phone contact ",0,0,,
40,1,Pathogen:,"A disease-causing microorganism that is typically visible only through a microscope; could be bacteria, viruses, fungi protozoa, and helminths",0,0,,
41,1,patient outcomes ,the long term survival of patients,0,0,,
42,1,Physician orders for life-sustaining treatment (POLST):,directives to identify desired level of life-sustaining treatment in patients with terminal or life-threatening illness,0,0,,
43,1,Prehospital care report (PCR):,Documentation of an EMT’s contact with a patient,0,0,,
44,1,Protozoa:,"A single-celled organism that is typically found in soil, but can cause infections in people with compromised immune systems",0,0,,
45,1,Proximate cause:,When deviation from an accepted standard of care results in further injury to the patient,0,0,,
46,1,Quality improvement:,A system for continually evaluating and improving the care provided within an EMS system,0,0,,
47,1,Rapid extrication:,Method of removal of a patient from a hazardous situation without normal precautions due to imminent danger,0,0,,
48,1,Rapid medical assessment:,Method of assessing an unconscious patient from head to toe to ascertain medical problems and check for injuries,0,0,,
49,1,Rapid trauma assessment:,Method of assessing an unconscious patient from heat to toe to check for injuries if there is a substantial mechanism of injury,0,0,,
50,1,Scope of practice:,The range of duties and skills an EMT is allowed and obligated to perform when necessary,0,0,,
51,1,Severe Acute Respiratory Syndrome (SARS):,"A respiratory virus that is thought to be transmitted by close person-to-person contact through airborne respiratory droplets; characterized by a high fever, headache, and associated respiratory symptoms",0,0,,
52,1,Slander:,Defaming through spoken statements with malicious intent or reckless disregard,0,0,,
53,1,Standard of care:,Care expected from any trained EMT under similar circumstances,0,0,,
54,1,Standard of care:,The minimum acceptable level of care provided,0,0,,
55,1,stress ,a state of physical and or psychological arousal to a stimulus,0,0,,
56,1,The 10 areas that the National Highway Traffic Safety Administration (NHTSA) assesses as benchmarks for any EMS system:,"Regulation and Policy, Resource Management, Human Resources and Training, Transportation, Facilities, Communications, Public Information and Education, Medical Direction, Trauma Systems, and Evaluation",0,0,,
57,1,The five stages of dealing with death and dying:,"Denial, Anger, Bargaining, Depression, and Acceptance",0,0,,
58,1,The most effective method of limiting exposure between calls:,Hand-washing,0,0,,
59,1,The primary responsibility of any EMT:,Personal safety,0,0,,
60,1,Tuberculosis:,A respiratory infection characterized by a productive cough and fever;  transmission can occur through airborne respiratory droplets,0,0,,
61,1,Urgent move:,Used when the patient’s condition may become life-threatening,0,0,,
62,1,Viruses:,"Organism that requires a host cell to replicate; cannot be reached by antibiotics, and typically are mild",0,0,,
63,1,Ways to deal with stress:,"Eat right; stop smoking; exercise; learn to relax; balance work, relaxation, and family; change work schedule; seek professional help ",0,0,,
64,1,West Nile Virus:,"Transmitted via mosquito bite; symptoms could include fever, headache, and nausea or vomiting; it is estimated that up to 80% of infected people do not know that they are infected with WNV",0,0,,
65,2,a policy or protocol issued by a medical director that authorizes EMTs to perform particular skills in certain situations ,standing orders,0,0,,
66,2,abuse ,causing deliberate harm to another person,0,0,,
67,2,actual consent ,"A victim's indication that a rescuer may provide care; obtained verbally, through a gesture or for a minor, through a guardian",0,0,,
68,2,advance directive ,"instructions, written in advance, such as a DNR or living will",0,0,,
69,2,advance directive ,a DNR order; instructions written in advance of an event,0,0,,
70,2,ageism ,stereotyping or discrimination against old people,0,0,,
71,2,altered mental status ,"a variation from normal function of the mind as judged by a person's behavior, appearance, speech, memory, judgment, or responsiveness to stimuli",0,0,,
72,2,Americans with Disabilities Act (ADA) ,a federal law passed in 1990 that protects individuals with a documented disability from being denied initial or continued employment based on their disability,0,0,,
73,2,assault ,a willful threat to inflict harm on a person,0,0,,
74,2,assault ,placing a person in fear of bodily harm,0,0,,
75,2,assault ,placing a person in fear of bodily harm,0,0,,
76,2,authority ,power to act for someone else.,0,0,,
77,2,battery ,the act of touching a person unlawfully without his consent,0,0,,
78,2,battery ,causing bodily harm to or restraining a person,0,0,,
79,2,behavior ,the way a person acts of performs,0,0,,
80,2,breach of duty ,"Where defendant's conduct falls short of that level required by the applicable standard of care owed to the plaintiff, she has breached her duty.",0,0,,
81,2,causation ,(element of malpractice) It must be proved that the harm occurred as a direct result of the nurse's failure to follow the standard of care and that the nurse could have known that failure to follow the standard of care could result in such harm,0,0,,
82,2,certification ,"A process in which a person, an institution, or a program is evaluated and recognized as meeting certain predetermined standards to provide safe and ethical care.",0,0,,
83,2,child abuse ,"physical, emotional, or sexual mistreatment or neglect of a child from newborn to 18 years of age",0,0,,
84,2,civil law ,"Deals with noncriminal issues and conflicts between 2 parties. Involves disputes regarding contracts, money, personal behavior and all other issues that are not criminal law.",0,0,,
85,2,confidentiality ,"the obligation not to reveal information obtained about a patient except to other health care professionals involved in the patient's care, or under subpoena, or in a court of law, or when the patient has signed a release of confidentiality",0,0,,
86,2,consent ,permission that must be obtained before care is rendered,0,0,,
87,2,consent ,permission from the patient for care or other action by the EMT,0,0,,
88,2,crime scene ,the location where a crime has been committed or any place that evidence relating to a crime may be found,0,0,,
89,2,damages ,An amount of money the court orders a defendant to pay the plaintiff,0,0,,
90,2,defamation ,an intentional false communication that injures another person's reputation of good name,0,0,,
91,2,defendant ,"..., a person or institution against whom an action is brought in a court of law",0,0,,
92,2,designated agent ,an EMT or other person authorized by a Medical Director to give medications and provide emergency care. The transfer of such authorization to a designated agent is an extension of the Medical Director's license to practice medicine.,0,0,,
93,2,Do Not Resuscitate ,"a legal document, usually signed by the patient and his physician, which states that the patient has a terminal illness and does not wish to prolong life through resuscitative efforts.",0,0,,
94,2,do not resuscitate (DNR) order ,"a legal document, usually signed by the patient and his physician, which states that the patient has a terminal illness and does not wish to prolong life through resuscitative efforts",0,0,,
95,2,duty to act ,an obligation to provide care to a patient,0,0,,
96,2,duty to act ,An obligation to provide care to a patient.,0,0,,
97,2,emancipated minor ,"Person younger than 18 years of age who lives independently, is totally self-supporting, is married or divorced, is a parent even if not married, or is in the military and possesses decision-making rights; a minor who is married, pregnant, a parent, in the armed forces, or financially independent and living away from home with the permission of the courts",0,0,,
98,2,ethical ,regarding a social system or social or professional expectations for applying principles of right and wrong,0,0,,
99,2,evidence,"based - description of medical techniques or practices that are supported by scientific evidence of their safety and efficacy, rather than merely supposition and tradition",0,0,,
100,2,expressed consent ,consent given by adults who are of legal age and mentally competent to make a rational decision in regard to their medical wellbeing,0,0,,
101,2,expressed consent ,Consent given by adults who are of legal age and mentally competent to make a rational decision in regard to their medical well-being.,0,0,,
102,2,false imprisonment ,1. Common law: unlawful confinement of person without his consent,0,0,,
103,2,Good Samaritan Law ,"A series of laws, varying in each state, designed to provide limited legal protection for citizens and some health care personnel when they are administering emergency care.",0,0,,
104,2,HIPAA ,"the Health Insurance Portability and Accountability Act, a federal law protecting the privacy of patient-specific health care information and providing the patient with control over how this information is used and distributed",0,0,,
105,2,implied consent ,"the consent it is presumed a patient or patient's parents or guardians would give if they could, such as for an unconscious patient or a parent who cannot be contacted when care is needed",0,0,,
106,2,in loco parentis ,"in place of the parents, indicating a person who may give consent for care of a child when the parents are not present or able to give consent",0,0,,
107,2,informed consent ,"A legal term that indicates that a person is receiving treatment voluntarily and has bee n provided with a basic understanding of the risks, benefits and alternatives of that treatment.",0,0,,
108,2,law of consent ,permission from the patient for care or other action by the EMT,0,0,,
109,2,liability ,being held legally responsible,0,0,,
110,2,liability ,Anything for which a person is legally bound or responsible,0,0,,
111,2,libel ,false or injurious information in written form,0,0,,
112,2,libel ,(n.) a written statement that unfairly or falsely harms the reputation of the person about whom it is made; (v.) to write or publish such a statement,0,0,,
113,2,licensure ,"A mandatory credentialing process established by law, usually at the state level, that grants the right to practice certain skills and endeavors",0,0,,
114,2,living wills ,This legal document informs health care providers and family members about the patient's desires for medical treatment in the event they are not able to speak for themselves,0,0,,
115,2,malpractice ,Failure by a health professional to meet accepted standards.,0,0,,
116,2,medical control ,"Physician instructions that are given directly by radio or cell phone (online/direct) or indirectly by protocol/guidelines (off-line/indirect), as authorized by the medical director of the service program.",0,0,,
117,2,medical direction ,oversight of the patient-care aspects of an EMS system by the Medical Director,0,0,,
118,2,Medical Director ,a physician who assumes ultimate responsibility for the patient care aspects of the EMS system,0,0,,
119,2,moral ,regarding personal standards or principles of right and wrong,0,0,,
120,2,negligence ,"A finding of failure to act properly in a situation in which there was a duty to act, that needed care as would reasonably be expected of the EMT was not provided, and that harm was caused to the patient as a result.",0,0,,
121,2,off line medical direction ,consists of standing orders issued by the Medical Director that allow EMTs to give certain procedures without speaking to the Medical Director or another physician.,0,0,,
122,2,on-Line medical direction - ,consists of orders given directly by the on-duty physician to an EMT in the field by radio and telephone.,0,0,,
123,2,orders from the On-Duty MD given directly to an EMT-B,on-line medical direction,0,0,,
124,2,organ donor ,a person who has completed a legal document that allows for donation of organs and tissues in the event of death,0,0,,
125,2,OSHA ,"Occupational Safety and Health Administration, a government agency in the Department of Labor to maintain a safe and healthy work environment",0,0,,
126,2,patient confidentiality ,the protected right and duty of health care workers not to disclose any information acquired about a patient to those who are not directly involved with the care of the patient,0,0,,
127,2,plaintiff ,A person who brings an action in a court of law.,0,0,,
128,2,protocols ,"lists of steps, such as assessments and interventions, to be taken in different situations. Protocols are developed by the Medical Director of an EMS system.",0,0,,
129,2,protocols ,"A list of steps, such as assessments and interventions to be taken in different situations and are developed by the Medical Director",0,0,,
130,2,proximate cause ,"(1) Something that produces a result, without which the result could not have occurred",0,0,,
131,2,reciprocity ,Endorsement; a state's acceptance of a license issued by another state.,0,0,,
132,2,res ipsa loquitur ,the thing speaks for itself,0,0,,
133,2,Res Ipsa Loquitur ,"The thing speaks for itself a rebuttable presumption or inference that defendant was negligent, which arise upon proof that instrumentality causing injury was in defendants exclusive control and that the accident would not happen in the absence of negligence is called:",0,0,,
134,2,respondeant superior ,a legal term meaning let the master answer; the employer assumes responsibility for the conduct of the employee and can also be held responsible for malpractice by the employee. generally refers to physician,0,0,,
135,2,safe haven law ,"a law that permits a person to drop off an infant or child at a police, fire, or EMS station or to deliver the infant or child to any available public safety personnel. The intent of the law is to protect children who may otherwise be abandoned or harmed",0,0,,
136,2,scope of practice ,"A set of regulations and ethical considerations that define the scope, or extent and limits, of the EMT's job.",0,0,,
137,2,slander ,False or injurious information stated verbally.,0,0,,
138,2,standard of care ,"for an EMT providing care for a specific patient in a specific situation, the care that would be expected to be provided by an EMT with similar training when caring for a patient in a similar situation",0,0,,
139,2,standard of care ,Care that a practitioner of equal experience and training would deliver under similar circumstances,0,0,,
140,2,standing orders ,a policy or protocol issued by a Medical Director that authorizes EMTs and others to perform particular skills in certain situations.,0,0,,
141,2,standing orders ,Written instructions that authorize EMS personnel to perform certain medical interventions before establishing direct communication with a physician,0,0,,
142,2,standing orders issued by the medical director that allow EMTs to do things without speaking to the med director ,off-line medical direction,0,0,,
143,2,tort ,"a civil, not a criminal, offense; an action or injury caused by negligence from which a lawsuit may arise",0,0,,
144,2,tort ,"A civil wrong or wrongful act, whether intentional or accidental, from which injury occurs to another. Torts include all negligence cases as well as intentional wrongs which result in harm. Some intentional torts may also be crimes, such as assault, battery, wrongful death, fraud, conversion (a euphemism for theft) and trespass on property and form the basis for a lawsuit for damages by the injured party. Defamation, including intentionally telling harmful untruths about another-either by print or broadcast (libel) or orally (slander)-is a tort and used to be a crime as well.",0,0,,
145,2,trust vs. mistrust ,"concept developed from an orderly, predictable environment versus a disorderly, irregular environment",0,0,,
146,3,base station ,the central dispatch and coordination area of an EMS communications system that ideally is in contact with all other elements of the system,0,0,,
147,3,decoder ,device that recognizes and responds to only certain codes imposed on radio broadcasts,0,0,,
148,3,decoding ,process by which a received message is translated and interpreted,0,0,,
149,3,quality improvement ,a process of continuous self-review with the purpose of identifying and correcting aspects of the system that require improvement,0,0,,
150,4,direct carry ,"a method of transferring a patient from the bed to stretcher, during which two or more rescuers curl the patient to their chests, then reverse the process to lower the patient to the stretcher",0,0,,
151,4,direct ground lift ,"a method of lifting and carrying a patient from ground level to a stretcher in which two or more rescuers kneel, curl the patient to their chests, stand, then reverse the process to lower the patient onto the stretcher",0,0,,
152,4,draw sheet method ,a method of transferring a patient from bed to stretcher by grasping and pulling the loosened bottom sheet of the bed,0,0,,
153,4,extremity lift ,"a method of lifting and carrying a patient during which one rescuer slips hands under the patient's armpits and grasps the wrists, while another rescuer grasps the patient's knees",0,0,,
154,4,Fowler position ,a sitting position,0,0,,
155,4,power grip ,"gripping with as much hand surface as possible in contact with the object being lifted, all fingers bent at the same angle, and hands at least ten inches apart",0,0,,
156,4,power lift ,"a lift from a squatting position with weight to be lifted close to the body, feet apart and flat on the ground, body weight on or just behind the balls of the feet, and the back locked in. The upper body is raised before the hips. AKA the squat lift position",0,0,,
157,4,recovery position ,lying on the side. Also called lateral recumbent position,0,0,,
158,4,Trendelenburg position ,a position in which the patient's feet and legs are higher than the head,0,0,,
159,5,Adenosine triphosphate:,Molecules that are used for energy inside the cells in metabolism;  also called ATP,0,0,,
160,5,Adrenal glands:,Important in the production and release of the hormones that control our response to stress,0,0,,
161,5,Adrenal glands:,"Sit atop the kidneys and secrete epinephrine and norepinephrine;  postpone muscle fatigue, increase the storage of sugar, control kidney function, and regulate the metabolism of salt and water",0,0,,
162,5,Aerobic metabolism:,"Metabolism with the presence of oxygen, netting up to 36 moles of ATP",0,0,,
163,5,Alveoli:,The air sacs in the lungs where gas exchange takes place,0,0,,
164,5,Anaerobic metabolism:,"Metabolism without the presence of oxygen;  much less efficient than with oxygen, netting only 2 moles of ATP",0,0,,
165,5,Anterior:,Toward the front,0,0,,
166,5,Appendicitis:,Inflammation of the appendix;  possibly fatal if the appendix bursts and spills its contents into the abdomen,0,0,,
167,5,Appendicular skeleton:,"The pelvis, legs, arms, clavicles and shoulder blades",0,0,,
168,5,Appendix:,"Located near the junction of the small and large intestines, the appendix is made of lymphatic tissue",0,0,,
169,5,Arteries of the heart:,Coronary arteries,0,0,,
170,5,Arterioles:,The smallest kind of artery;  carries blood from the arteries to the capillaries,0,0,,
171,5,Arteriosclerosis:,Disease process in which the eateries lose elasticity as they become rigid; also known as hardening of the arteries,0,0,,
172,5,Automaticity:,The ability to generate and conduct electrical impulses on its own,0,0,,
173,5,Autonomic nervous system:,Influences the activities of smooth muscles and glands is mostly automatic (as the name suggests);  also divided up into the sympathetic nervous system and the parasympathetic nervous systems,0,0,,
174,5,Axial skeleton:,"Head, spine and thorax, not the pelvis",0,0,,
175,5,Ball and socket joint:,Joint that allows for greatest range of movement; found in the hip and shoulder,0,0,,
176,5,Bilateral: ,Referring to both sides of the body ,0,0,,
177,5,Bronchi:,The two major branches of the trachea into each lung,0,0,,
178,5,Calcaneus is found:,In the foot (also known as the heel),0,0,,
179,5,Cardiac muscle is:,"Striated, involuntary, and only found in the heart",0,0,,
180,5,Carina:,The point at which the trachea divides into the two main-stem bronchi,0,0,,
181,5,Central nervous system consists of:,The brain and the spinal cord,0,0,,
182,5,Central pulse: ,A pulse point near the trunk of the body; usually assessed in the carotids of the neck or femoral of the groin.  ,0,0,,
183,5,Cerebellum:,Structure in the posterior brain; controls balance,0,0,,
184,5,Cerebrum:,Main structure of the brain; responsible for all voluntary movements,0,0,,
185,5,Condyloid joint:,"A modified ball-and-socket joint that permits limited motion in two directions;  allows for side-to-side movement and up-and-down movement, but not complete rotation;  found in the wrist",0,0,,
186,5,Cricoid ring:,A firm cartilage ring just inferior to the lower portion of the larynx,0,0,,
187,5,Diaphragm:,"The large, dome-shaped muscle that separates the thoracic cavity from the abdominal cavity; primary muscle for respiration.",0,0,,
188,5,Distal:,Further from,0,0,,
189,5,Dorsal side:,The back of the hands and top of the feet,0,0,,
190,5,Enzymes:,"Proteins that catalyze chemical reactions in the body;  can be found in cells, and frequently in the digestive process",0,0,,
191,5,Epidermis:,Mostly dead skin cells; the outer most layer of skin,0,0,,
192,5,Epiglottis:,The flap-like structure that prevents food and liquid from entering the trachea during swallowing,0,0,,
193,5,Epinephrine:,"Used by the sympathetic nervous system to increase blood pressure, vessel constriction, heart rate/contraction/force, breathing rate, and the breathing capacity",0,0,,
194,5,Epinephrine: ,"A hormone that helps to prepare the body for emergencies, also known as adrenalin",0,0,,
195,5,Fontanel:,A soft spot on a baby’s skull where the bones have not yet grown together,0,0,,
196,5,Fowler’s:,Lying on the back with a 45-degree bend at the hips,0,0,,
197,5,Gliding joint:,Joints in which one bone slides over another;  found in the hands and feet,0,0,,
198,5,Glottic opening:,"The anatomic space between the vocal cords, leading to the trachea",0,0,,
199,5,Glottis:,The passageway into the trachea from the pharynx,0,0,,
200,5,Gonads:,"(ovaries in females, and testes in males) produce the hormones that govern reproduction and sex characteristics",0,0,,
201,5,Hemoglobin:,The chemical that carries oxygen in the blood and releases it when blood reaches the tissues.,0,0,,
202,5,Hemoglobin:,A protein that binds to oxygen and releases it for cellular use,0,0,,
203,5,Hinged joint:,Permits flexion and extension;  found in the elbow and the knee,0,0,,
204,5,Hypothalamus:,"Responsible for metabolic functions of the body, but also linking the endocrine system to the nervous system",0,0,,
205,5,Ilium:,The upper portion of the pelvis,0,0,,
206,5,Inferior:,Toward the bottom of the body,0,0,,
207,5,Intercostal muscles:,Muscles located between the ribs that move and assist with breathing,0,0,,
208,5,Intercostal Muscles: ,Muscles located between the ribs that move with breathing,0,0,,
209,5,Ischium :,The lower portion of the pelvis,0,0,,
210,5,Islets of Langerhans:,"Located in the pancreas;  make insulin, which allows glucose to enter cells, and produce glucagon, a hormone that raises the glucose level in the blood",0,0,,
211,5,Larynx:,"The voice box, or vocal cords, consisting of bands of cartilage that vibrate when the person speaks",0,0,,
212,5,Lateral:,Away from the midline,0,0,,
213,5,Liver:,"One of the most important organs in the body; aids in digestion, blood clotting, the removal of toxins from the body, and in fat and carbohydrate digestion; found mostly in the upper right quadrant",0,0,,
214,5,Major arteries of the neck:,Carotid arteries,0,0,,
215,5,Major veins of the neck:,Jugular veins,0,0,,
216,5,Mandible:,The horseshoe-shaped bone forming the lower jaw,0,0,,
217,5,Maxilla:,"A paired bone with several processes that forms the skeletal base of most of the upper face, roof of the mouth, sides of the nasal cavity, and floor of the orbit",0,0,,
218,5,Medial:,Toward the midline,0,0,,
219,5,Meninges:,"A system of membranes that cover the central nervous system; when inflamed, termed meningitis and can be viral or bacterial in nature; made up of the dura, arachnoid, and pia mater",0,0,,
220,5,Metacarpals are found:,In the fingers,0,0,,
221,5,Metatarsals are found:,In the foot,0,0,,
222,5,Midaxillary line: ,"An imaginary line that extends from the armpits to the ankles, dividing the body into anterior and posterior halves",0,0,,
223,5,Midclavicular line: ,Two imaginary lines that divide the collar bones in two and extend down the trunk through each nipple,0,0,,
224,5,Nasopharynx:,The part of the pharynx behind the nose,0,0,,
225,5,Norepinephrine:,"Similar to epinephrine in that it is used by the sympathetic nervous system, although it primarily works on the blood vessels, so mainly presents as pale, cool, clammy skin",0,0,,
226,5,Number of rib pairs:,12,0,0,,
227,5,Number of vertebrae and their divisions:,"Cervical 7, Thoracic 12, Lumbar 5, Sacral 5, Coccyx 4",0,0,,
228,5,Number of vertebrae:,33,0,0,,
229,5,Orbits:,The openings in the skull for the eyeballs,0,0,,
230,5,Organs in the left lower quadrant:,"Left Kidney, Colon, Small intestines, Major artery and vein to the left leg, and Ureter",0,0,,
231,5,Organs in the left upper quadrant:,"Liver, Spleen, Left Kidney, Stomach, Colon, and Pancreas",0,0,,
232,5,Organs in the right lower quadrant:,"Right Kidney, Colon, Small Intestines, Major artery and vein to the right leg, Ureter, and Appendix",0,0,,
233,5,Organs in the right upper quadrant:,"Liver, Right kidney, Colon, Pancreas, Gallbladder",0,0,,
234,5,Oropharynx:,The part of the pharynx behind the mouth,0,0,,
235,5,Palmer side:,The palm of the hand,0,0,,
236,5,Pancreas:,The organ that is responsible for insulin production and regulation in the upper abdominal quadrants,0,0,,
237,5,Pancreas:,Aids in digestion and in how the body uses sugar;  assists in making insulin and regulating it for the blood stream,0,0,,
238,5,Pancreas:,Regulates blood sugar and assists in digestion in the body,0,0,,
239,5,Parasympathetic nervous system:,"Termed the rest and digest system, it causes relaxation, decreased heart rate, breathing, and blood pressure in the body.",0,0,,
240,5,Parathyroid gland:,Behind the thyroid in the anterior neck;  produces a hormone necessary for the metabolism of calcium and phosphorus in the bones,0,0,,
241,5,Parathyroid:,Is important in how the body manufactures and uses calcium for the bones,0,0,,
242,5,Pathway of the cardiac conduction system:,"Sinoatrial node, to the atrioventricular node, through the bundle of His, down the bundle branches, and into the purkinje fibers",0,0,,
243,5,Perfusion:,"The process of circulating blood to the organs, delivering oxygen and removing wastes",0,0,,
244,5,Pericardial sac:,"A double-walled sac that contains the heart; can become filled with fluid-inducing pericardial tamponade, or inflamed, causing pericarditis",0,0,,
245,5,Peripheral pulse:,A pulse point in an extremity,0,0,,
246,5,Peristalsis:,The rhythmic movement of matter through the digestive tract,0,0,,
247,5,Pharynx:,The part of the airway behind the nose and mouth divided into two regions: the naso and oropharynx,0,0,,
248,5,Pineal gland:,Aids in the sleeping cycle of the body,0,0,,
249,5,Pineal gland:,Endocrine gland that mostly regulates heart rate and is found above the brain stem,0,0,,
250,5,Pituitary gland:,"At the base of the brain;  is considered to be the master gland in the body, as it regulates growth, the thyroid and parathyroid glands, the pancreas, the gonads, metabolism of fatty acids, and some basic proteins",0,0,,
251,5,Pivot joint:,Allows for a turning motion found in the joints between the head and neck and in the wrist,0,0,,
252,5,Plasma:,The fluid part of the blood that carries the blood cells and other nutrients,0,0,,
253,5,Platelets:,"The blood component that plays an important role in blood-clotting, made up of small cell fragments. ",0,0,,
254,5,Platelets:,Cells and cell fragments that are essential in forming clots for the body,0,0,,
255,5,Posterior:,Toward the back,0,0,,
256,5,Prone:,Lying flat on the stomach,0,0,,
257,5,Proximal:,Closer to,0,0,,
258,5,Pubis:,The piece of cartilage that connects the two sides of the pelvis,0,0,,
259,5,Recovery position is:,The left lateral recumbent position for a patient to maintain an open airway while unconscious,0,0,,
260,5,Red blood cells:,"Hold hemoglobin, which carries oxygen to cells",0,0,,
261,5,Reticular activating system (RAS):,A group of nerves found in the brain stem that is the wake/sleep center of the brain;  controls consciousness,0,0,,
262,5,Scapula :,The shoulder blade,0,0,,
263,5,Shock position:,"Lying flat on the back, bent at the hips with feet lifted 12 inches",0,0,,
264,5,Skeletal muscle is:,"Striated, voluntary and connected to bones",0,0,,
265,5,Smooth muscle is:,"Nonstriated, involuntary, and found in the stomach and blood vessels",0,0,,
266,5,Sternal notch:,The anatomic notch created by the clavicles and the sternum,0,0,,
267,5,Stomach:,The hollow organ that expands as it fills with food; the stomach’s acidic juices aide the body in digestion,0,0,,
268,5,Structures of the endocrine system:,"Pituitary, Pineal gland, hypothalamus, thyroid, parathyroid, thymus, pancreas, adrenal glands, ovary or testis",0,0,,
269,5,Superior:,Toward the top of the body,0,0,,
270,5,Supine:,Lying flat on the back,0,0,,
271,5,Sympathetic nervous system:,"Termed the “fight or flight” system, it causes excitement, increased heart rate, breathing rate and blood pressure in the body and is regulated with epinephrine (adrenaline) and norepinephrine.",0,0,,
272,5,The dermis consists of:,"Blood vessels, nerves, and sweat glands",0,0,,
273,5,The function of the pulmonary artery:,Carries oxygen-poor blood to the lungs (the one exception for arteries),0,0,,
274,5,The gallbladder’s function:,Aids in digestion and stores bile that was made by the liver,0,0,,
275,5,The knee cap is also know as:,The patella,0,0,,
276,5,The large intestine:,This organ removes water from waste products as they move toward elimination from the body,0,0,,
277,5,The largest artery in the body:,The aorta,0,0,,
278,5,The peripheral nervous system consists of:,The peripheral nerves that carry sensory information back to the central nervous system,0,0,,
279,5,The pituitary gland:,"Considered the master gland,  assists in controlling all the other glands in the body",0,0,,
280,5,The Plantar side:,The sole of the foot,0,0,,
281,5,The primary function of arteries:,Carry oxygen rich blood away from the heart ( the one exception is the pulmonary artery),0,0,,
282,5,The primary function of veins:,Carry oxygen poor blood back to the heart ( the one exception is the pulmonary vein),0,0,,
283,5,The route that blood takes through the chambers of the heart:,"Right atrium, right ventricle to the lungs.  Left atrium, left ventricle to the body, and back.",0,0,,
