id,question,chapter,rightanswer,wronganswer1,wronganswer2,wronganswer3,wronganswer4,explanation,bookmark,bookinComp,bookTime,rese,wronganswer5
18,A policy or protocol issued by a Medical Director that authorizes EMTs and others to perform particular skills in certain situations is called:,1,Standing order,Protocol,Procedure,Direct medical order,Offline medical direction,"While offline medical direction could be a policy or protocol, standing orders are directly related to the types of skills that an EMT might have to perform in certain situations. Standing orders frequently appear as “If/Then” statements in the protocol book. For example, if a patient has a blood sugar below 60, then administer D50.",,,,,
19,A process of continuous self-review with the purpose of identifying and correcting aspects of the system that require improvement is termed:,1,Quality improvement,Quality review,Improvement review,Medical review,Medical direction,Quality improvement is the process of reviewing aspects of an EMS system and identifying needs and areas that could be improved upon. This is usually done by reviewing run reports and discussing patient outcomes.,,,,,
20,Which of the following is NOT a component of the EMS system?,1,All of the answers are components of an EMS system,Patients,911 dispatchers,EMS personnel,Emergency department staff,"Patients, 911 dispatchers, EMS personnel, and Emergency department staff, are all necessary aspects of the EMS system. ",,,,,
21,The definition of ‘quality improvement’ is:,1,The process of reviewing aspects of an EMS system and identifying needs and areas that could be improved upon.,Identifying problems before they arise.,A medical director teaching EMS personnel and developing protocols.,Proper documentation of an EMS run.,,The definition of quality improvement is: the process of reviewing aspects of an EMS system and identifying needs and areas that could be improved upon.,,,,,
22,"On scene of a cardiac patient who is struggling with chest pain, you call medical direction and the doctor directs you to administer nitroglycerin to the patient. This is an example of:",1,Online medical direction,Offline medical direction,A direct order from medical control,Standing orders,Protocols,"This is an example of online medical control (remember, you are ON a phone LINE with medical control).",,,,,
23,Which of the following hospitals is NOT designated as a specialty hospital?,1,A regional hospital,A burn center,A trauma hospital,A pediatric hospital,,"A regional hospital could simply be the hospital in the region, but it does not necessarily specialize in anything, such as burns, trauma, or pediatrics. A regional hospital could be a trauma center or some other type of hospital with a special focus, but this isn’t necessarily the case.",,,,,
24," When an EMT speaks up for a patient to protect his or her rights, the EMT is acting as the patient’s:",1,Advocate,Guardian,Partner,Friend,Caretaker,Being a patient advocate is a part of the EMT’s job. Knowing what rights a patient has and then upholding them is an essential function of any EMT’s job.,,,,,
25,BSI stands for:,1,Body Substance Isolation,Bacteria Substance Isolation,Body Stuff Isolation,Bacteria Separation Infection ,,"BSI stands for Body Substance Isolation, which is the process of taking steps to limit exposure to any kind of infection.",,,,,
26,PPE stands for: ,1,Personal Protective Equipment,Protective Personal Equipment,Protective Personnel Equipped ,Personal Protective Engagement ,,"PPE stands for Personal Protective Equipment. Examples of this kind of equipment can be gloves, glasses, masks, etc. ",,,,,
27,All of the following are examples of PPE EXCEPT:,1,Hand washing,Protective gloves,Eye protection,Masks,Gowns,"Hand washing is not a part of protective equipment, but is a part of good infection control standards.",,,,,
28,All of the below are examples of stress reactions EXCEPT:,1,Critical stress,Acute stress,Delayed stress,Cumulative stress,,"Critical stress is not one of the commonly encountered stresses, although the other three could be a result of a critical incident.",,,,,
29,An incident that could lead an EMT to have a stress-related reaction would be:,1,Any incident could lead to a stress reaction.,An MCI,Calls involving infants,Severe injuries,Death of a coworker,"Really, any incident can lead to stress or to a stress-related reaction. Certainly, there are difficult calls that will more often lead to a stress-related reaction, but even the culmination of a lot of small calls can be tough on EMTs. It is for this reason that all EMTs should be aware of the causes of stress and how to manage them. ",,,,,
30,The two types of stress are:,1,Eustress and distress,Eustress and delayed stress,Distress and culminated stress,Distress and acute stress,Eustress and acute stress,"The two types of stress are eustress, the positive kind that assists a person in functioning well under pressure, and distress, the negative kind of stress that can cause long-term problems.",,,,,
31,Signs and symptoms of stress include all of the following EXCEPT:,1,Memory loss,Irritability with family,Inability to concentrate,Changes in daily activities,Difficulty sleeping,Memory loss is not commonly seen as one of the signs and symptoms of stress.  ,,,,,
32,Critical incident stress debriefing should:,1,Be an open and honest discussion of feelings and emotions,Take place a week after the incident,Not include certain members of the call,Involve criticism of judgments made on the call,,"A CISD should involve open and honest discussion of feelings and emotions, all members who were involved should be present. Discussing tactics should not be a significant issue.",,,,,
33,What is considered to be the most important method of reducing disease transmission?,1,Frequent hand washing,Wearing gloves on all calls,Proper decontamination after calls,Eye protection,Using a mask when exposed to someone with a cold,Washing hands frequently has been found to be the most significant method of reducing disease transmission.,,,,,
34,Which of the options below will provide information about hazardous materials?,1,All of the answers are correct,Placards,U.S. DOT Guidebook,Workers/Drivers,National Emergency Response Guidebook,All of the answers could provide information about hazardous materials.,,,,,
35,"An EMT, after he or she is certified, will have the knowledge of how to enter a hazardous materials scene without any extra assistance.",1,FALSE,TRUE,In some districts,In most districts,,"Basic EMT courses do not provide any training or knowledge about how to attack a HazMat scenario. If you believe you are in a HazMat situation, exit the scene immediately.",,,,,
36,"At a violent domestic scene, EMTs must decide if they can enter or if they should wait for police.",1,FALSE,TRUE,Every district is different,Sometimes you never know,,EMTs should never enter a violent scene until proper authorities have stabilized it.,,,,,
37,An EMT’s first and primary responsibility is:,1,Personal safety,Patient care,Knowing what’s best for the patient,All of the answers,Your partner’s safety,"While all of the answers could be responsibilities of an EMT, the most important is personal safety.",,,,,
38,Which call could potentially be the most stressful to an EMT?,1,A 2-year old child that is unconscious and not breathing after a fall,An 82-year old patient that has passed away while at a daughters house,A 52-year old man that is currently having a heart attack,An 18-year old female that has overdosed on medication due to depression,A 22-year old male patient that probably ended his sports career due to injury,"While any call can cause stress to an EMT, most commonly, children tend to be the hardest for EMS personnel. ",,,,,
39,"Of the following, which is NOT a good example of stress reduction practices?",1,Going out for drinks after a shift,Making sure that you get enough sleep every night,Getting frequent exercise,Talking with someone about your job,Trying to eat well,"While there can be little harm in joining friends for a drink after a shift, it is important to maintain a balance and understanding of why and how your job is leading to stress.",,,,,
40,You respond to a call with a leaking tanker truck on its side. There is a smell of something strange in the air and the liquid leaking out seems to be steaming. Several victims seem to be unconscious and are lying on the ground next to the tanker truck. You should do all of the following EXCEPT:,1,Attempt to reach the nearest victim while holding your breath,Retreat to a safe distance,Notify all responding units of a possible HazMat scenario,Set up a treatment area to assist possible patients,Without getting closer attempt to identify a placard or ID number on the truck,"An EMT should never approach a HazMat scene without the assistance of trained personnel. Retreating to a safe distance, setting up a treatment area, notifying other responding units and identifying ID numbers or placards are all within the scope of an EMT’s job.",,,,,
41,A pathogen is:,1,All of the answers are correct.,A virus,A bacteria,A disease causing organism,,All of the answers are examples of pathogens.,,,,,
42,The Standard of Care is defined as:,2,The minimum acceptable level of care normally provided in the area,An EMT’s scope of practice,The essence of standing orders and protocols,Whatever medical direction dictates,,"The standard of care can vary from area to area and is usually defined with protocols and standing orders.  However, usually the Standard of Care is defined as the minimum level of care provided in that area.",,,,,
43,"When an EMT arrives on scene and is identified as such, the EMT must legally provide emergency medical assistance.  This responsibility is called:",2,Duty to act,A legal consideration,An ethical consideration,Scope of practice,Standards of care,"Duty to act means that you, as an EMT, have a legal responsibility to provide emergency medical care when presented with the opportunity to do so.",,,,,
44,"While you are assessing a 55-year-old male patient with chest pain, he suddenly decides that he does not want any more treatment and orders you to stop touching him. What is the best course of action?",2,Immediately assess his level of competency.,Tell him that you have already started treatment and cannot stop.,Immediately restrain the patient because he is clearly not mentally competent.,Continue treatment and state that you will call medical control.,,"A patient, at any time, can refuse whole or partial treatment. It is imperative to ensure that a patient is competent and able to refuse. In this scenario, ascertaining competency is even more important because decreased blood flow to the heart could mean decreased blood flow to the brain as well. This lack of blood to the brain could account for the patient’s decision to stop treatment.",,,,,
45,"On scene of a patient refusal, the woman declines to sign a refusal form. You have already assessed the patient’s competency and explained the risks in refusing. The patient states comprehension, reiterates her desire to refuse, and continues to refuse to sign “any papers”. Your best course of action is to:",2,Have her husband or a bystander sign the form for the patient.,Have your partner sign the form for a patient.,Place an X where the patient should sign and in the report state the patient refused to sign.,Tell the patient that she cannot refuse without signing the form and if she continues you’ll have to force her to go.,,"A competent adult can refuse any or all parts of a refusal, including the signature. It is best to obtain the patient’s signature, but if the patient refuses, it is best to get a family member or witness to sign for the patient. In the absence of a family member, an officer of the law or other bystander will do.",,,,,
46,"After a person has signed a refusal of treatment and transport form, it is important to not re-offer to the patient treatment or transport options.  If you do, you will have to re-document the patient’s refusal:",2,FALSE,TRUE,Depends on Medical Control.,,,It is always a good idea to re-offer treatment options to the patient; a patient can always change his or her mind.,,,,,
47,"You pick up a high school student and transport her to the hospital. After the call, you are packing up the ambulance, and an elderly woman approaches you and states that she is the student’s legal guardian. She asks how the patient is doing by name. What is the best way to handle this situation?",2,Direct the woman to the E.D. check-in desk.,"Since the woman knows the student’s name, she is most likely telling the truth.",Tell her that to do so would be a breach of duty and that you could be sued.,"Ask her a question that only a legal guardian would know, to ensure that she is telling the truth.",,"Since the patient is now in the hospital, it is best for the woman to go through their channels.",,,,,
48,"You arrive on scene of a low-speed, low-impact, and no damage auto accident.  Initially, the patient cannot remember where he was going, what his name is, or the day of the week. You ask him to let you assess him further and he refuses. Your best course of action is to:",2,"Restrain the man, and transport him to the hospital.",Have the man sign a refusal form.,Have police explain to the man that he must go to the hospital.,Have your partner and another witness sign the refusal form since the man doesn’t want to.,,"It may not be likely that the man suffered a head injury in such a small accident however, since the man is not oriented to day, place, event, or self, he must be transported to the E.D. under implied consent. Getting the police involved, and continuing to try and convince the man to go willingly are not necessarily bad ideas, but they should not be tried at the delay of care.",,,,,
49,"When a patient suffers damage or injury because an EMT fails to perform at the accepted standard of care, this is termed:",2,Negligence,Abandonment,Standard of care,None of these are correct,,"When a patient suffers because an EMT fails to provide the accepted standards of care, it is termed negligence.",,,,,
50,"For negligence to be proven, all of the following must be shown EXCEPT:",2,Care was passed to someone of lower rank or certification,There was a duty to act,There was a breach of duty,Damages occurred,There was proximate cause,"When care is passed to someone of lower rank or certification, it is termed abandonment, not negligence.",,,,,
51,The definition of abandonment is:,2,When care is discontinued without the patient’s consent or without ensuring that care is being continued at the same or higher level.,When care was passed to someone of lower rank or certification.,When care was discontinued without the patient’s consent.,When care is discontinued before the patient's chief complaint has been fixed.,,Abandonment can be either leaving a patient with someone of a lower level of certification or discontinuing care without the patient’s consent.,,,,,
52,"When someone threatens or attempts offensive physical contact with another person, or makes another person fear such contact, it is called:",2,Assault,Battery,Negligence,Abandonment,,Assault does not necessarily have to involve contact; making someone fear such contact is also termed assault.,,,,,
53,"When someone is touched offensively without consent, it is termed:",2,Battery,Assault,Negligence,Abandonment,,Battery necessitates someone being touched offensively or without his or her consent.,,,,,
54,All of the following are examples of Advance Directives EXCEPT:,2,Patient confidentiality statements,Living wills,Durable power of attorney,Do not resuscitate orders,,"Living wills, durable power of attorney, and DNR’s are all examples of Advance Directives.",,,,,
55,An Advance Directive could give legal orders to do something or to not do something if the patient should become unable to express his or her wishes.,2,TRUE,FALSE,Depends on the state's rules for EMS.,,,"This is a true statement.  Living wills, durable power of attorney, and DNR’s can all direct EMTs to do what patients would like if they are not able to express their wishes.",,,,,
56, The Definition of a Living Will is:,2,"A written document that describes the kind of life-sustaining treatment that a patient wants or does not want if they later become unable to request consent, or refuse that treatment.",A written document identifying a guardian to make medical decisions for the patient.,"A written document made by the patient’s physician at the patient’s request, stating what, if any, life-saving measures should be taken if the patient experiences cardiac arrest.",,,"A living will should hold within it what life saving treatments must be undergone. This is relevant to EMTs because they may be involved in those treatments initially. A written document identifying a guardian is a durable power of attorney, and a document made by the patient’s physician at the patient’s request is called a Do Not Resuscitate Order.",,,,,
57,The definition of a durable power of attorney is:,2,A written document identifying a guardian to make medical decisions for the patient.,"A written document made by the patient’s physician at the patient’s request, stating what, if any, life saving measures should be taken if the patient experiences cardiac arrest.","A written document that describes the kind of life-sustaining treatment that a patient wants or does not want if they later become unable to give consent, or refuse treatment.",,,A durable power of attorney could be used in many situations; in EMS it pertains to who is allowed to make the decisions for the patient.,,,,,
58,The definition of a ‘Do Not Resuscitate’ order is:,2,"A written document made by the patient’s physician at the patient’s request, stating what, if any, life-saving measures should be taken if the patient experiences cardiac arrest.","A written document that describes the kind of life-sustaining treatment that a patient wants or does not want if they later become unable to request consent, or refuse that treatment.",A written document identifying a guardian to make medical decisions for the patient.,,,"A Do Not Resuscitate order, or DNR, is a document that a patient and his physician both sign, outlining what life-saving measures are appropriate for that patient.  It is important to note that each patient can be different and refuse some aspects of treatment but not others.",,,,,
59,"In a DNR situation, a patient could refuse certain aspects of treatment but not others.",2,TRUE,FALSE,Depends on the district’s rules and regulations,,,A DNR can reference part or all of the areas within the scope of practice for an EMT.,,,,,
60,You arrive on scene where the patient is not breathing and has no pulse.  A caregiver or family member states that the patient has a DNR but cannot show it to you. Your best course of action is to:,2,Begin CPR efforts and consult with a home base physician.,Do nothing; the responsibility is now on the person that instructed you not to start CPR.,Place the AED on the patient and see if the patient is shockable.,Begin CPR and transport the patient immediately to remove the patient from the situation.,,"There is no easy answer, and every situation is different, but EMTs should err on the side of doing something rather than doing nothing. Many patients will have a DNR made but file it away and forget to have it readily available. Even in nursing homes DNRs can be lost or misplaced so it is important for EMTs in this situation to begin CPR and contact their base physician who can direct them further in a particular position.",,,,,
61,"You are on scene of a terminally ill patient who is not breathing well. A family member on scene states that you are not to do anything to assist the patient because the patient has a DNR and then they present the DNR to you. The patient looks at you and says, “please do not let me die”. What action do you take?",2,Assist the patient with all possible interventions that you can.,Do nothing; the patient signed a DNR and therefore it cannot be broken.,Carefully read the DNR to find out what interventions are appropriate and what interventions are not.,Contact Medical Control to consult with a doctor concerning the situation.,,"DNR’s can be tricky and local rules and regulations can change how they function within an EMS system. However, if a patient on scene states that they do not want the wishes of the DNR to be honored, the DNR is null and void and the EMT is within his or her scope to administer all standards of care.",,,,,
62,You are on scene of an elderly patient who has stopped breathing and has no pulse. The patient has a DNR bracelet and has a signed DNR next to their bed. Family members state that they want you to “save our father’s life”. In this situation what do you do:,2,"Honor the DNR and the wishes of the patient, and do no resuscitation efforts.","The wishes of the family now outweigh the wishes of the patient since he is unconscious, so start CPR immediately.",Contact medical control to consult with what to do.,Tell the family that they have no right to make that decision and that they should honor their father’s wishes to die in peace.,,"This does happen to EMS personnel frequently so do not be surprised if it happens to you. Contacting medical control is not a bad idea, and telling the family that they have no rights is insensitive, so it will be your job to calmly and as empathetically as possible explain that you are bound by the rules of the state to honor the patient’s wishes to “Do Not Resuscitate”.  The purpose of a DNR is for when the patient is unconscious or unable to express their wishes, those wishes can still be followed. In this situation, it is the patient’s wish to have no CPR, so it is appropriate to do no resuscitative efforts.",,,,,
63, Can EMTs restrain a patient against his will without the use of police?,2,"Yes, if they feel that the patient is a threat to himself or the first responder, and they feel safe performing a restraint.","No, EMTs can never restrain a patient without police; to do so would be battery.","Yes, only if the patient seems to be a threat to himself.","No, EMTs are not trained to restrain a patient and should never do it, even with police.",,"Sometimes a scene can change quickly and police may not be there to assist EMTs with a restraint. EMTs should always attempt to resolve a situation without restraining a patient, but times will come when a patient must be restrained, either to protect the patient or to protect EMS personnel.",,,,,
64,Which of the below is NOT a reason to release confidential information?,2,Family members want to know how a relative is doing.,Other healthcare providers become involved in the patient’s care.,Law enforcement must be notified of something at the scene.,"Third-party services, like an insurance company, need to know.",A court of law requires you to divulge information.,"Even if family members were on scene initially, by law EMTs should not give out information about a patient without the patient’s expressed consent. All the other answers are possible situations when an EMT might have to give out information.",,,,,
65,All of the following are situations when an EMT might be required to write a special report about information that was discovered while on a call EXCEPT:,2,A family member of a coworker was involved in the call.,There was an exposure to infectious disease on scene.,A patient was restrained during the call.,A patient was treated against their will.,,"Although an EMT might learn personal information about a coworker, or a family member of a coworker while on scene, the EMT is not required to and usually should not pass that information on to anyone else. The other answers are all situations where an EMT should pass on information relating to the call.",,,,,
66,"If a patient has a medical complaint, but refuses care, an EMT must obtain all of the following EXCEPT:",2,A written release form stating that the patient will not sue the EMS entity.,Knowledge that the patient is legally able to consent.,Knowledge that the patient is mentally competent.,The patient must be fully informed of the risks of not going to the hospital.,A signed form releasing the ambulance company from any liability.,"Anyone can be sued at any time for anything, so a signed release of liability form does not ensure that a patient will not sue. It is for this reason that it is important that EMTs obtain the rest of the answers before fully accepting the refusal of a patient.",,,,,
67,"When a patient signs a release of liability form, he cannot sue the ambulance company or personnel.",2,FALSE,TRUE,Only if the ambulance company is apart of a government entity.,,,"Anyone can sue anyone for anything, so a release of liability form only releases the EMTs and EMS corporation from liability of the patient’s informed refusal. The patient can still attempt to sue, but the release from liability form is built to protect these entities.",,,,,
68,Consent given to EMTs by adults who are mentally competent to make rational decision in regard to their medical well being is called:,2,Expressed consent,Informed consent,Implied consent,Educated consent,,"This is called expressed consent, which requires that the consent is informed.  Patients must understand the risks that they incur and then express the desire for help to an EMT for an EMT to act. If an EMT acts without expressed consent it should be under implied consent which necessitates the patient being mentally altered. ",,,,,
69,A law that was developed to protect rescuers that act in good faith is called:,2,Good Samaritan Law,Good Faith Law,EMS Protector Law,Duty to Act Law,,"This is not applicable everywhere, so EMTs should know what laws exist to protect them.  The states and municipalities that have adopted laws generally call them Good Samaritan laws.",,,,,
70,HIPAA stands for:,2,Health Insurance Portability and Accountability Act.,Health Insurance Protection And Accountability.,Health Information Protection and Accountability Act.,Health Information Portability And Accountability.,,HIPAA stands for Health Insurance Portability and Accountability Act. It was enacted by congress and developed to protect how patient’s information is used and shared within the health care industry.,,,,,
71,What is the purpose of HIPAA?,2,It was designed to limit access to a patient’s information to necessary personnel and provide a patient with easy access to his or her information.,To limit EMT’s access to information about a patient.,To change the how patient’s records are stored.,To force ambulance service companies to put policies and procedures in place that protect patients.,,HIPAA was enacted to limit access to a patient’s information by unnecessary personnel and provide the patient with easy access to their own information. The other answers may be true but were not the main reason for the law.,,,,,
72,The definition of expressed consent is:,2,Treating a patient after he or she has made an informed decision to be treated.,"Consent to treat a patient, even if they refuse, given by a police officer.",Treatment of an unconscious patient.,Forcibly treating a patient even though they have expressed a desire to not be treated.,,Expressed consent can only be given after a patient has been informed about treatment.,,,,,
73,Which of the following describes implied consent?,2,Treatment of an unconscious patient.,Consent to treat a patient given by a court.,Consent to treat a patient given by a police officer.,Consent to treat a patient that has given consent orally to EMTs.,Forcibly treating a patient because that is what is best for them.,"Implied consent is treating someone who is unconscious, assuming that if the person were conscious he or she would express consent to be treated.",,,,,
74,"You respond to a patient with a history of diabetes. The patient’s family gave the patient some candy, and the patient seems to be coming around. The patient is now eating a sandwich and expresses a desire to not be transported to the hospital. As an EMT you should do all of the following EXCEPT:",2,Obtain a signature from a family member since they are competent.,Explain the risks of not seeking further treatment.,Explain that the patient can call EMS back.,Obtain a signature from the patient stating comprehension of the situation and desire not to be transported.,Ensure that the patient is competent to refuse treatment.,"If the patient is not competent to refuse treatment a family member cannot sign for them. In this situation, EMTs can wait for the patient to become competent with more eating or explain to family members that they must transport the patient.",,,,,
75,"You respond to a 22-year-old female patient who is having an asthma attack. She promises that she took her inhaler and that she is feeling better; she adamantly refuses to be assessed by you. If you assess her anyway, you could be found guilty of:",2,Battery,Assault,Negligence,Abandonment,,"The touching of any patient against his or her will, if they are competent and of age, can result in the charge of battery against an EMT.",,,,,
76,"As an EMT, you are on scene of an elderly female patient who fell down. The patient expresses no pain and currently thinks that she will deny any further medical care once she gets on her feet. Before that happens you and your partner hear a cardiac arrest call go out over the radio, just around the block from where you are. If you leave the patient and go en-route to the other call, you could be charged with:",2,Abandonment,Assault,Battery,Negligence,,"Since, at this moment, your patient is not sure if she is hurt or not, if you leave you could be charged with abandonment even if you returned to the residence later after the cardiac arrest call.",,,,,
77,"In treating a patient with neck pain after a car accident, you ask the patient to get out of the car and walk into the back of the ambulance. Later, the patient finds out that he had a broken neck and may have incurred severe damage because of excessive movement. You and your partner may be charged with:",2,Negligence,Assault,Battery,Abandonment,,"Since asking a patient to walk to an ambulance after a car accident is not protecting the patient’s best interests, you may be charged with negligence of duty for this patient’s injury.",,,,,
78,The DOT requires minimum data to be collected on a prehospital care report. Which is an element of the DOT’s minimum data set?,3,Level of responsiveness ,Patient’s name ,Age and sex of the patient ,A location to contact the patient,,"The DOT requires a chief complaint, level of responsiveness, systolic blood pressure, skin perfusion, skin color and temperature, pulse rate, respiratory rate and effort. ",,,,,
79,The patient care report should include:,3,All of the answers are correct.,"Chief complaint, level of responsiveness, and systolic blood pressure.","Skin perfusion, color and temperature.","Pulse rate, respiratory rate, and effort.",None of the answers should be used.,A patient care report should include everything that has been assessed on a call and everything that was done. All of the options should be assessments completed on every patient.,,,,,
80,The narrative section of a patient care report (PCR) should include all of the following EXCEPT:,3,"Patient’s name, and sex",Patient’s response to medications,Interventions performed,The mechanism of injury,A SAMPLE history,The patient’s name and sex should be placed earlier in the report in a demographics section.,,,,,
81,Recording information that a patient denies during an assessment would be referred to as:,3,A pertinent negative.,Negative complaint.,Doesn’t need to be reported then.,Non-information.,Missing information.,"When a patient denies something, it is called a pertinent negative, and should be recorded in the report as such. For example, if a patient has chest pain and denies any radiating to an arm,  it would be recorded as a pertinent negative.",,,,,
82,A patient care report or (PCR) is a medical document and will be placed in the patient’s file.  It is also which of the following?,3,A legal document.,The patient’s personal property.,A potential police report.,Liability for the EMT.,,"In addition to being a part of a patient’s permanent medical record, an EMT’s report could end up being a legal document that could become the responsibility of the EMT in a court of law.",,,,,
83,Every refusal should be signed by:,3,The patient and a credible witness.,At least a credible witness.,Someone related to the patient.,A police officer.,At least the patient.,"When refusing someone, it is best to get the patient’s signature as well as a credible witness. If the patient refuses to sign,  then two credible witnesses are better than one.",,,,,
84,Why should an EMT wait at least one second before speaking after pushing the transmit button on a radio?,3,To allow time for the repeater to open up so that you are not cut off in your transmission.,To eliminate static in the background.,To remind yourself to speak slowly and clearly.,To make sure that the button has been fully depressed.,,"Some radios have to open up a repeater before it will transmit, so taking a second before speaking will ensure that your full message is passed through.",,,,,
85,It is important to copy the message back to dispatch to ensure that the vital information was communicated clearly.,3,True; radio communications can be tricky and it is important to make sure that messages are repeated.,"False; during an emergency,  it is important to not repeat information and consume valuable airtime.",It depends; the size of the incident will determine how radio communications will function. ,,,"Radio communications are rarely clear and succinct, which makes it important for messages to be copied to ensure accuracy. ",,,,,
86,"If medical direction gives you an order,  it is important to:",3,Repeat the order back to Medical Control word for word.,Respond as the individual situation requires:  different systems have different policies.,Ask medical direction to repeat the order.,Repeat the order to dispatch so someone else knows what it is.,Have your partner write it down.,"Due to radio functionality, it is important that Medical Control knows that you have understood the given order. The best way to do this is to repeat the order back to Medical Control.",,,,,
87,It is important to have good communications with Medical Control because:,3,The orders are directly related to good patient care.,The ambulance company’s liability depends on it.,The ambulance company cannot be certified without it.,Patient confidentiality depends on it.,There are FCC orders.,Good communication with Medical Control is important because patient care is dependent on EMTs understanding the orders and comprehending the scope of those orders.,,,,,
